SecondInterval,RequestCount
0,3
1,39
2,89
3,94
4,87
5,96
6,93
7,90
8,97
9,98
10,93
11,89
12,96
13,91
14,90
15,90
16,95
17,92
18,98
19,95
20,98
21,99
22,98
23,96
24,93
25,95
26,97
27,97
28,97
29,102
30,95
31,97
32,95
33,97
34,102
35,99
36,92
37,90
38,87
39,91
40,98
41,93
42,94
43,99
44,97
45,95
46,100
47,101
48,90
49,481
50,526
51,515
52,444
53,530
54,529
55,525
56,535
57,536
58,527
59,518
60,525
61,499
62,511
63,521
64,519
65,400
66,511
67,502
68,531
69,532
70,519
71,519
72,514
73,525
74,518
75,525
76,515
77,532
78,544
79,523
80,531
81,532
82,540
83,525
84,531
85,530
86,529
87,539
88,536
89,519
90,522
91,520
92,523
93,534
94,536
95,541
96,533
97,537
98,535
99,531
100,535
101,531
102,527
103,529
104,535
105,525
106,536
107,537
108,534
109,533
110,532
111,534
112,524
113,521
114,526
115,523
116,536
117,527
118,522
119,531
120,505
121,535
122,519
123,393
124,530
125,378
126,972
127,1020
128,1028
129,1028
130,1038
131,1029
132,1026
133,1023
134,994
135,1029
136,1026
137,989
138,1017
139,1033
140,1029
141,1039
142,1014
143,1004
144,1017
145,1026
146,1018
147,1009
148,1002
149,1001
150,1021
151,1017
152,1013
153,1004
154,1004
155,1022
156,951
157,1011
158,958
159,1015
160,1030
161,1016
162,992
163,1028
164,1037
165,1004
166,1020
167,1029
168,1020
169,1043
170,1017
171,1002
172,1012
173,1009
174,1028
175,1019
176,1019
177,1018
178,1050
179,1034
180,1024
181,995
182,994
183,1007
184,1018
185,776
186,700
187,1000
188,957
189,1032
190,1016
191,995
192,996
193,1035
194,1024
195,1042
196,1051
197,997
198,1032
199,1013
200,1052
201,1019
202,1042
203,1037
204,1031
205,1017
206,1016
207,1008
208,1044
209,1021
210,1015
211,1036
212,1019
213,1031
214,1022
215,1055
216,1030
217,992
218,539
219,1032
220,1020
221,992
222,942
223,1042
224,1004
225,1040
226,1000
227,815
228,793
229,894
230,1033
231,983
232,652
233,919
234,1023
235,1066
236,969
237,979
238,1037
239,1034
240,1026
241,1009
242,981
243,995
244,999
245,1026
246,1043
247,1007
248,1031
249,1018
250,1025
251,1037
252,1019
253,1039
254,1015
255,1044
256,1046
257,1038
258,1040
259,1026
260,1050
261,1043
262,1046
263,1029
264,1035
265,1025
266,1037
267,1021
268,1045
269,993
270,1011
271,1047
272,1048
273,1023
274,1029
275,1051
276,1035
277,1050
278,1032
279,998
280,1007
281,998
282,1035
283,1030
284,1039
285,663
286,231
287,186
288,180
289,976
290,1038
291,1043
292,1034
293,1050
294,1034
295,1053
296,1066
297,1048
298,1031
299,1027
300,1026
301,1004
302,905
303,290
304,235
305,261
306,274
307,260
308,265
309,271
310,266
311,264
312,263
313,266
314,271
315,264
316,257
317,264
318,272
319,252
320,256
321,256
322,264
323,269
324,267
325,257
326,268
327,269
328,261
329,265
330,265
331,257
332,261
333,265
334,269
335,270
336,265
337,263
338,260
339,262
340,266
341,272
342,277
343,265
344,277
345,265
346,270
347,269
348,267
349,260
350,266
351,272
352,261
353,270
354,267
355,267
356,265
357,274
358,266
359,276
360,269
361,263
362,255
363,267
364,264
365,269
366,273
367,265
368,267
369,268
370,266
371,269
372,265
373,268
374,260
375,261
376,260
377,267
378,264
379,123
