SecondInterval,RequestCount
0,6
1,40
2,68
3,66
4,71
5,68
6,71
7,69
8,66
9,69
10,71
11,69
12,69
13,72
14,69
15,69
16,68
17,71
18,68
19,71
20,70
21,70
22,69
23,71
24,70
25,68
26,76
27,73
28,67
29,76
30,67
31,66
32,67
33,67
34,71
35,68
36,69
37,70
38,68
39,69
40,71
41,69
42,70
43,61
44,34
45,41
46,51
47,69
48,33
49,28
50,24
51,20
52,64
53,71
54,74
55,66
56,70
57,71
58,71
59,68
60,68
61,65
62,66
63,68
64,67
65,70
66,61
67,70
68,66
69,68
70,70
71,68
72,69
73,69
74,69
75,66
76,67
77,65
78,70
79,69
80,73
81,69
82,72
83,69
84,71
85,67
86,72
87,64
88,69
89,70
90,67
91,69
92,72
93,63
94,63
95,67
96,72
97,72
98,68
99,66
100,71
101,67
102,69
103,69
104,70
105,68
106,66
107,72
108,70
109,63
110,43
111,71
112,74
113,68
114,70
115,71
116,66
117,69
118,68
119,73
120,59
121,70
122,71
123,64
124,70
125,71
126,70
127,67
128,68
129,67
130,71
131,71
132,70
133,70
134,48
135,34
136,23
137,29
138,57
139,77
140,133
141,297
142,353
143,340
144,333
145,309
146,302
147,262
148,279
149,232
150,258
151,206
152,238
153,173
154,254
155,191
156,135
157,176
158,219
159,208
160,284
161,233
162,271
163,251
164,234
165,193
166,239
167,211
168,216
169,215
170,224
171,184
172,241
173,209
174,221
175,211
176,230
177,195
178,234
179,217
180,230
181,216
182,217
183,202
184,241
185,202
186,214
187,205
188,220
189,192
190,230
191,204
192,224
193,222
194,222
195,193
196,241
197,187
198,230
199,227
200,224
201,205
202,225
203,216
204,232
205,226
206,249
207,186
208,264
209,217
210,251
211,239
212,247
213,204
214,257
215,223
216,233
217,231
218,252
219,204
220,213
221,215
222,248
223,226
224,267
225,190
226,277
227,223
228,257
229,232
230,243
231,190
232,260
233,209
234,242
235,233
236,254
237,197
238,273
239,223
240,237
241,230
242,259
243,201
244,252
245,215
246,216
247,238
248,231
249,196
250,257
251,217
252,254
253,226
254,251
255,190
256,266
257,224
258,227
259,227
260,255
261,190
262,249
263,222
264,229
265,221
266,247
267,200
268,254
269,231
270,224
271,241
272,232
273,180
274,266
275,199
276,225
277,228
278,249
279,195
280,250
281,206
282,242
283,211
284,235
