SecondInterval,AverageLatency
0,534
1,87
2,90
3,59
4,135
5,50
6,50
7,47
8,48
9,92
10,50
11,63
12,53
13,51
14,50
15,51
16,51
17,109
18,186
19,166
20,74
21,51
22,51
23,49
24,48
25,48
26,52
27,48
28,50
29,51
30,49
31,48
32,52
33,48
34,52
35,48
36,48
37,49
38,49
39,51
40,50
41,50
42,49
43,52
44,48
45,50
46,48
47,50
48,51
49,48
50,48
51,50
52,50
53,75
54,279
55,55
56,51
57,53
58,49
59,53
60,54
61,84
62,95
63,49
64,274
65,79
66,60
67,52
68,56
69,50
70,50
71,204
72,50
73,50
74,51
75,51
76,50
77,62
78,83
79,49
80,50
81,50
82,48
83,51
84,49
85,49
86,49
87,49
88,47
89,49
90,48
91,50
92,54
93,52
94,53
95,52
96,246
97,97
98,78
99,123
100,144
101,124
102,125
103,118
104,123
105,119
106,119
107,130
108,134
109,152
110,117
111,121
112,126
113,133
114,142
115,143
116,149
117,158
118,176
119,142
120,137
121,143
122,140
123,142
124,156
125,166
126,137
127,119
128,122
129,116
130,116
131,116
132,126
133,124
134,124
135,116
136,120
137,116
138,122
139,121
140,121
141,117
142,131
143,143
144,187
145,139
146,138
147,176
148,140
149,134
150,137
151,142
152,139
153,148
154,135
155,169
156,138
157,139
158,147
159,128
160,123
161,127
162,122
163,121
164,133
165,119
166,142
167,124
168,113
169,120
170,120
171,118
172,131
173,148
174,133
175,117
176,119
177,123
178,114
179,123
180,120
181,125
182,120
183,120
184,124
185,119
186,118
187,117
188,118
189,119
190,116
191,118
192,123
193,117
194,118
195,113
196,115
197,124
198,117
199,115
200,118
201,118
202,116
203,122
204,116
205,122
206,118
207,116
208,123
209,120
210,135
211,125
212,121
213,117
214,127
215,120
216,118
217,120
218,127
219,121
220,122
221,163
222,212
223,175
224,201
225,146
226,122
227,336
228,194
229,148
230,127
231,131
232,192
233,147
234,123
235,123
236,126
237,116
238,119
239,124
240,115
241,115
242,118
243,117
244,117
245,117
246,124
247,118
248,113
249,113
250,126
251,117
252,127
253,118
254,116
255,121
256,121
257,115
258,123
259,116
260,122
261,120
262,123
263,117
264,119
265,122
266,119
267,124
268,118
269,116
270,116
271,123
272,122
273,118
274,120
275,117
276,122
277,118
278,115
279,129
280,119
281,121
282,120
283,118
284,118
285,117
286,121
287,118
288,125
289,116
290,116
291,120
292,120
293,127
294,118
295,116
296,114
297,118
298,119
299,112
300,122
301,119
302,116
303,121
304,128
305,118
306,118
307,125
308,125
309,124
310,117
311,129
312,123
313,122
314,122
315,119
316,121
317,125
318,157
319,153
320,167
321,133
322,119
323,113
324,123
325,121
326,136
327,123
328,118
329,127
330,120
331,126
332,119
333,114
334,125
335,113
336,141
337,164
338,124
339,114
340,111
341,121
342,117
343,126
344,137
345,128
346,119
347,120
348,132
349,148
350,168
351,150
352,291
353,192
354,142
355,116
356,122
357,128
358,141
359,125
360,127
361,122
362,111
363,117
364,125
365,117
366,117
367,118
368,118
369,116
370,123
371,119
372,117
373,113
374,117
375,118
376,113
377,120
378,117
379,121
380,117
381,128
382,119
383,122
384,121
385,119
386,115
387,116
388,117
389,116
390,119
391,123
392,119
393,120
394,120
395,118
396,120
397,122
398,114
399,118
400,120
401,121
402,122
403,116
404,123
405,122
406,112
407,111
408,121
409,120
410,112
411,127
412,102
413,102
414,99
415,94
416,74
417,449
418,266
419,138
420,152
421,194
422,200
423,214
424,187
425,245
426,178
427,177
428,130
429,222
430,132
431,147
432,132
433,145
434,134
435,144
436,132
437,130
438,128
439,125
440,127
441,128
442,133
