SecondInterval,AverageLatency
0,1577
1,477
2,140
3,52
4,122
5,112
6,189
7,261
8,270
9,105
10,57
11,53
12,50
13,49
14,49
15,52
16,51
17,50
18,49
19,50
20,54
21,51
22,50
23,49
24,50
25,48
26,49
27,49
28,48
29,49
30,53
31,48
32,47
33,49
34,50
35,50
36,54
37,49
38,52
39,48
40,48
41,48
42,50
43,48
44,49
45,50
46,49
47,50
48,49
49,48
50,50
51,50
52,49
53,58
54,50
55,51
56,53
57,49
58,54
59,53
60,55
61,49
62,47
63,50
64,51
65,48
66,51
67,64
68,48
69,53
70,50
71,50
72,49
73,46
74,50
75,51
76,48
77,49
78,48
79,48
80,49
81,48
82,48
83,48
84,47
85,46
86,389
87,230
88,163
89,147
90,122
91,126
92,128
93,88
94,89
95,99
96,81
97,83
98,77
99,77
100,78
101,77
102,77
103,77
104,77
105,76
106,79
107,79
108,78
109,78
110,77
111,79
112,76
113,76
114,76
115,78
116,77
117,77
118,77
119,77
120,77
121,77
122,78
123,79
124,77
125,76
126,76
127,78
128,77
129,78
130,79
131,87
132,79
133,77
134,77
135,80
136,103
137,99
138,84
139,114
140,121
141,113
142,99
143,92
144,93
145,91
146,97
147,89
148,82
149,158
150,196
151,194
152,197
153,198
154,200
155,194
156,198
157,190
158,200
159,196
160,200
161,196
162,192
163,201
164,196
165,196
166,200
167,199
168,197
169,196
170,189
171,197
172,199
173,199
174,195
175,191
176,197
177,197
178,196
179,202
180,199
181,202
182,199
183,200
184,193
185,210
186,199
187,199
188,200
189,197
190,197
191,195
192,196
193,189
194,196
195,192
196,194
197,193
198,194
199,199
200,200
201,195
202,198
203,203
204,198
205,198
206,197
207,205
208,200
209,197
210,195
211,193
212,192
213,194
214,191
215,190
216,202
217,193
218,197
219,206
220,195
221,196
222,200
223,191
224,190
225,195
226,193
227,212
228,197
229,204
230,197
231,200
232,195
233,193
234,191
235,192
236,197
237,194
238,199
239,213
240,204
241,213
242,222
243,249
244,281
245,231
246,301
247,236
248,223
249,236
250,250
251,240
252,217
253,227
254,220
255,212
256,222
257,211
258,228
259,219
260,208
261,193
262,202
263,212
264,210
265,199
266,212
267,211
268,196
269,203
270,203
271,210
272,214
273,195
274,197
275,200
276,204
277,198
278,204
279,195
280,196
281,191
282,195
283,196
284,192
285,199
286,197
287,198
288,199
289,197
290,193
291,190
292,193
293,190
294,199
295,200
296,201
297,191
298,195
299,194
300,198
301,195
302,191
303,195
304,187
305,204
306,209
307,285
308,267
309,301
310,209
311,203
312,248
313,259
314,195
315,194
316,198
317,199
318,203
319,195
320,198
321,199
322,201
323,202
324,200
325,196
326,192
327,189
328,190
329,202
330,203
331,201
332,202
333,193
334,199
335,196
336,199
337,201
338,200
339,192
340,197
341,195
342,195
343,195
344,204
345,200
346,198
347,200
348,197
349,205
350,198
351,191
352,198
353,196
354,198
355,196
356,195
357,199
358,198
359,196
360,195
361,202
362,198
363,200
364,193
365,194
366,201
367,218
368,200
369,203
370,192
371,201
372,274
373,237
374,244
375,217
376,218
377,216
378,235
379,211
380,199
381,213
382,200
383,197
384,196
385,217
386,199
387,200
388,223
389,200
390,213
391,218
392,227
393,229
394,212
395,231
396,257
397,209
398,214
399,200
400,240
401,228
402,236
403,249
404,231
405,221
406,233
407,213
408,200
409,195
410,202
411,197
412,198
413,199
414,193
415,195
416,192
417,189
418,187
419,201
420,203
421,191
422,198
423,194
424,189
425,189
426,199
427,212
428,195
429,193
430,194
431,200
432,198
433,189
434,193
435,196
436,199
437,199
438,198
439,193
440,198
441,200
442,194
443,199
444,191
445,194
446,194
447,192
448,195
449,196
450,197
451,206
452,197
453,194
454,193
455,193
456,192
457,198
458,202
459,204
460,202
461,196
462,201
463,193
464,189
465,189
466,193
467,197
468,200
469,197
470,193
471,194
472,194
473,196
474,198
475,195
476,192
477,197
478,191
479,192
480,197
481,199
482,192
483,196
484,203
485,192
486,198
487,190
488,191
489,197
490,194
491,198
492,196
493,197
494,202
495,198
496,190
497,195
498,182
499,178
500,203
501,181
502,163
503,161
504,141
505,143
506,137
507,164
508,139
509,125
510,119
511,114
512,88
513,519
514,562
515,440
516,567
517,374
518,476
519,369
520,429
521,368
522,411
523,369
524,404
525,371
526,386
527,393
528,403
529,399
530,396
531,405
532,399
533,380
534,412
535,389
536,408
537,378
538,409
539,388
540,410
541,373
542,423
543,378
544,409
545,378
546,412
547,379
548,403
549,399
550,387
551,390
552,378
553,403
554,394
555,378
556,413
557,386
558,406
559,374
560,400
561,393
562,385
563,402
564,388
565,392
566,386
567,401
568,400
569,423
570,383
571,391
572,387
573,380
574,398
575,396
576,388
577,373
578,396
579,400
580,370
581,407
582,376
583,396
584,408
585,375
586,399
587,383
588,394
589,384
590,380
591,390
592,398
593,408
594,392
595,391
596,411
597,379
598,372
599,416
600,366
601,386
602,398
603,411
604,392
605,396
606,368
607,567
608,590
609,533
610,510
611,385
612,387
613,398
614,380
615,416
616,383
617,440
618,510
619,538
620,677
621,839
622,761
623,413
624,440
625,369
626,399
627,409
628,404
629,374
630,420
631,377
632,395
633,390
634,413
635,385
636,415
637,382
638,412
639,398
640,449
641,417
642,502
643,453
644,515
645,498
646,1550
648,665
649,715
650,670
651,484
652,511
653,482
654,429
655,419
656,377
657,385
658,415
659,389
660,395
661,388
662,427
663,389
664,417
665,382
666,394
667,387
668,388
669,392
670,391
671,388
672,383
673,379
674,404
675,379
676,402
677,411
678,374
679,403
680,385
681,385
682,377
683,393
684,381
685,397
686,371
687,398
688,385
689,402
690,377
691,404
692,363
693,409
694,397
695,389
696,380
697,377
698,407
699,380
700,387
701,385
702,397
703,407
704,377
705,392
706,383
707,396
708,374
709,415
710,369
711,393
712,403
713,380
714,420
715,391
716,396
717,390
718,402
719,384
720,422
721,387
722,1045
723,445
724,646
725,668
726,518
727,408
728,415
729,395
730,393
731,421
732,400
733,404
734,384
735,401
736,376
737,406
738,382
739,409
740,365
741,399
742,389
743,393
744,398
745,384
746,411
747,374
748,417
749,376
750,396
751,395
752,394
753,405
754,373
755,393
756,406
757,368
758,424
759,377
760,390
761,402
762,402
763,418
764,384
765,385
766,399
767,381
768,417
769,385
770,467
771,414
772,442
773,395
774,400
775,406
776,414
777,400
778,398
779,379
780,425
781,411
782,486
783,403
784,393
785,389
786,429
787,381
788,430
789,362
790,426
791,372
792,392
793,375
794,383
795,397
796,382
797,404
798,396
799,403
800,379
801,403
802,397
803,394
804,410
805,383
806,394
807,368
808,406
809,369
810,426
811,360
812,420
813,368
814,395
815,384
816,407
817,390
818,382
819,393
820,382
821,390
822,375
823,416
824,387
825,387
826,401
827,391
828,379
829,395
830,386
831,400
832,397
833,386
834,399
835,378
836,400
837,378
838,409
839,386
840,387
841,394
842,388
843,387
844,413
845,370
846,411
847,368
848,410
849,363
850,408
851,386
852,391
853,380
854,402
855,385
856,386
857,398
858,385
859,414
860,388
