SecondInterval,RequestCount
0,6
1,24
2,29
3,19
4,33
5,31
6,30
7,20
8,27
9,37
10,105
11,109
12,119
13,119
14,122
15,116
16,117
17,117
18,122
19,119
20,110
21,118
22,117
23,121
24,123
25,121
26,120
27,123
28,127
29,120
30,115
31,120
32,124
33,122
34,118
35,119
36,116
37,113
38,116
39,126
40,124
41,123
42,118
43,124
44,122
45,117
46,120
47,120
48,122
49,124
50,119
51,119
52,120
53,108
54,114
55,116
56,112
57,121
58,111
59,115
60,108
61,123
62,125
63,120
64,116
65,123
66,115
67,108
68,104
69,113
70,119
71,118
72,120
73,128
74,121
75,116
76,126
77,120
78,125
79,125
80,114
81,102
82,86
83,71
84,52
85,21
86,114
87,118
88,176
89,200
90,231
91,255
92,306
93,310
94,331
95,309
96,377
97,380
98,412
99,413
100,410
101,413
102,416
103,409
104,415
105,416
106,405
107,407
108,404
109,418
110,407
111,399
112,420
113,418
114,414
115,409
116,413
117,414
118,414
119,412
120,413
121,418
122,409
123,405
124,410
125,417
126,416
127,408
128,412
129,414
130,400
131,368
132,403
133,410
134,410
135,400
136,351
137,352
138,354
139,337
140,284
141,264
142,279
143,285
144,328
145,335
146,362
147,333
148,373
149,223
150,154
151,166
152,158
153,163
154,161
155,163
156,160
157,168
158,158
159,167
160,158
161,165
162,163
163,165
164,162
165,160
166,164
167,160
168,157
169,167
170,159
171,167
172,160
173,163
174,163
175,166
176,165
177,163
178,161
179,155
180,162
181,163
182,153
183,160
184,167
185,153
186,159
187,159
188,162
189,156
190,166
191,165
192,166
193,163
194,161
195,169
196,161
197,169
198,163
199,161
200,164
201,162
202,163
203,157
204,162
205,157
206,165
207,155
208,163
209,162
210,156
211,167
212,167
213,169
214,167
215,165
216,162
217,164
218,160
219,157
220,158
221,167
222,159
223,166
224,167
225,163
226,171
227,150
228,161
229,155
230,164
231,159
232,166
233,163
234,162
235,166
236,165
237,160
238,164
239,155
240,150
241,154
242,159
243,154
244,121
245,123
246,128
247,118
248,117
249,121
250,133
251,132
252,142
253,140
254,143
255,145
256,164
257,135
258,140
259,143
260,156
261,157
262,163
263,152
264,146
265,165
266,153
267,148
268,160
269,153
270,162
271,152
