SecondInterval,RequestCount
0,25
1,278
2,791
3,799
4,846
5,881
6,883
7,694
8,890
9,894
10,870
11,908
12,911
13,896
14,930
15,926
16,907
17,938
18,913
19,929
20,893
21,916
22,941
23,906
24,916
25,922
26,917
27,922
28,944
29,918
30,948
31,931
32,926
33,945
34,912
35,910
36,947
37,914
38,909
39,926
40,458
41,256
42,253
43,283
44,265
45,305
46,256
47,267
48,184
49,201
50,144
51,55
52,862
53,1435
54,1326
55,1356
56,1342
57,1159
58,1527
59,1278
60,1336
61,1221
62,1278
63,1185
64,1313
65,1336
66,1340
67,1326
68,1375
69,1263
70,1300
71,1193
72,1284
73,1242
74,1269
75,1340
76,1316
77,1367
78,1325
79,1201
80,1383
81,1229
82,1219
83,1265
84,1335
85,1397
86,1290
87,1366
88,1328
89,1325
90,1315
91,1116
92,900
93,798
94,848
95,873
96,1286
97,1360
98,1297
99,1278
100,1361
101,1288
102,1238
103,1269
104,1252
105,1281
106,253
107,815
108,1116
109,484
110,997
111,1320
112,1380
113,689
114,246
115,1193
116,1351
117,1240
118,1360
119,616
120,19
121,888
122,1212
123,1267
124,1391
125,1314
126,1258
127,1227
128,594
129,422
130,714
131,1183
132,1253
133,1279
134,1359
135,1420
136,1304
137,1270
138,1295
139,1372
140,1212
141,1292
142,1323
143,1470
144,1367
145,1297
146,1299
147,377
148,675
149,1134
150,1206
151,1255
152,1318
153,1385
154,1323
155,1258
156,1308
157,608
158,32
159,378
160,321
161,494
162,1230
163,1349
164,1225
165,1263
166,1323
167,1310
168,1368
169,1401
170,1317
171,1385
172,1232
173,1175
174,1355
175,1271
176,1247
177,1413
178,1283
179,1374
180,1299
181,1239
182,1250
183,1129
184,1285
185,1252
186,1239
187,1366
188,1369
189,1315
190,1244
191,1249
192,1331
193,1326
194,1121
195,1345
196,496
197,224
198,657
199,1261
200,1305
201,1207
202,1357
203,1318
204,1107
205,1357
206,1285
207,499
208,208
209,620
210,375
211,1137
212,1258
213,1305
214,1273
215,1396
216,1316
217,1367
218,1286
219,1187
220,1010
221,1443
222,380
223,560
224,1221
225,1248
226,1275
227,1339
228,1303
229,1220
230,1288
231,1265
232,1313
233,1311
234,1326
235,1403
236,1308
237,1237
